Term	Category	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
cytoplasmic translation	GOTERM_BP_DIRECT	50	17.421602787456447	6.228172054574056e-68	RPL30, RPL32, RPL31, RPL34, RPLP1, RPS4X, RPS15, RPS14, RPS16, RPS19, RPL18A, RPS18, RPL36, RPLP2, RPL35, RPL38, RPS11, RPL39, RPS10, RPS13, RPS12, RPL21, RPS6, RPL13A, RPL24, RPL27, RPL26, RPL28, UBA52, RPL12, RPL11, RPS15A, RPS3, RPL14, RPL13, RPS2, RPS27A, RPL18, RPL19, RPL41, RPL23A, RPS25, RPS27, RPS29, RPL27A, RPS20, FAU, RPS21, RPS24, RPS23	269	91	19462	39.7524408676825	1.012077958868284e-64	1.012077958868284e-64	9.790686469790415e-65
translation	GOTERM_BP_DIRECT	52	18.118466898954704	6.7836702609754e-48	RPL30, RPL32, RPL31, RPL34, RPLP1, RPS4X, RPS15, RPS14, RPS16, RPS19, RPL18A, RPL36AL, RPS18, RPL36, RPLP2, RPL35, RPL38, RPS11, RPL39, RPS10, RPS13, RPS12, RPL21, RPS6, RPL13A, EEF1A1, RPL24, RPL27, RPL26, RPL28, UBA52, RPL12, RPL11, RPS15A, RPS3, RPL14, RPL13, RPS2, RPS27A, RPL18, RPL19, RPL41, RPL23A, RPS25, RPS27, RPS29, RPL27A, RPS20, FAU, RPS21, RPS24, RPS23	269	222	19462	16.946716232961588	1.1023464174085024e-44	5.511732087042513e-45	5.331964825126664e-45
immune response	GOTERM_BP_DIRECT	45	15.6794425087108	1.205780294507821e-22	CCL4L2, LST1, CXCR4, CTSW, CST7, SAMHD1, IL2RG, ETS1, CTSS, PYCARD, HLA-DMA, FCGR3A, HLA-DMB, RGS1, CCL5, CCL4, TRBC1, CCL3, CTSH, HLA-DQA2, B2M, TRIM22, HLA-DQA1, CTSC, HLA-DPA1, IL32, CD74, CD96, FYB1, GZMA, HLA-B, HLA-C, HLA-A, TNFRSF1B, HLA-F, HLA-E, GPR183, CD7, HLA-DPB1, HLA-DRA, LTB, IL7R, HLA-DRB1, C1QC, HLA-DQB1	269	512	19462	6.358837709107807	1.959392978575209e-19	6.53130992858403e-20	6.318288743220982e-20
antigen processing and presentation	GOTERM_BP_DIRECT	16	5.574912891986063	1.9061486282744836e-17	CD74, HLA-B, HLA-C, HLA-A, CTSS, HLA-E, HLA-DMA, HLA-DMB, HLA-DPB1, CTSH, HLA-DRA, HLA-DQA2, HLA-DQA1, HLA-DRB1, HLA-DPA1, HLA-DQB1	269	45	19462	25.724246179264764	3.097491520946035e-14	7.743728802365088e-15	7.491164109118721e-15
antigen processing and presentation of exogenous peptide antigen via MHC class II	GOTERM_BP_DIRECT	13	4.529616724738676	6.404572245688806e-15	CD74, FCER1G, CTSS, HLA-DMA, HLA-DMB, HLA-DPB1, HLA-DRA, HLA-DQA2, B2M, HLA-DQA1, HLA-DRB1, HLA-DPA1, HLA-DQB1	269	32	19462	29.39196096654275	1.0463852007092099e-11	2.081485979848862e-12	2.0135975140445607e-12
antigen processing and presentation of peptide or polysaccharide antigen via MHC class II	GOTERM_BP_DIRECT	11	3.8327526132404177	3.396186147052908e-14	HLA-DMA, HLA-DMB, HLA-B, HLA-DPB1, HLA-DRA, HLA-A, HLA-DQA2, HLA-DRB1, HLA-DQA1, HLA-DPA1, HLA-DQB1	269	20	19462	39.79219330855018	5.520583989948591e-11	9.198004148268292e-12	8.898007705278619e-12
peptide antigen assembly with MHC class II protein complex	GOTERM_BP_DIRECT	10	3.484320557491289	3.437369154622737e-13	HLA-DMA, HLA-DMB, HLA-DPB1, HLA-DRA, B2M, HLA-DQA2, HLA-DRB1, HLA-DQA1, HLA-DPA1, HLA-DQB1	269	17	19462	42.55849551716598	5.585532036889163e-10	7.979606966088496e-11	7.719349015809918e-11
positive regulation of T cell activation	GOTERM_BP_DIRECT	11	3.8327526132404177	2.0324217197440188e-11	PYCARD, HLA-DMA, HLA-DMB, HLA-DPB1, HLA-DRA, B2M, HLA-DQA2, HLA-DRB1, HLA-DQA1, HLA-DPA1, HLA-DQB1	269	34	19462	23.407172534441287	3.302680295913518e-08	4.128356618230039e-09	3.9937086792969976e-09
ribosomal small subunit biogenesis	GOTERM_BP_DIRECT	14	4.878048780487805	2.371754142980925e-11	RPS6, RPS15, RPS4X, RPS14, RPS25, RPS15A, RPS16, RPS27, RPS19, RPS11, RPS24, RPS13, RPS23, RPS12	269	74	19462	13.687732342007436	3.854107233358661e-08	4.282333869271114e-09	4.142663903073349e-09
interferon-gamma-mediated signaling pathway	GOTERM_BP_DIRECT	10	3.484320557491289	8.555460100630546e-11	SP100, IFNGR1, IRF1, HLA-B, HLA-DPB1, HLA-C, HLA-A, HLA-F, HLA-E, HLA-DQB1	269	28	19462	25.83908656399363	1.3902615592087386e-07	1.3902622663524641e-08	1.3449183278191222e-08
